"","source_title","count"
"1","AVIAN CONSERVATION AND ECOLOGY",32
"2","JOURNAL OF WILDLIFE MANAGEMENT",16
"3","CONDOR",11
"4","JOURNAL OF BIOGEOGRAPHY",8
"5","JOURNAL OF FIELD ORNITHOLOGY",8
"6","ORNITHOLOGICAL APPLICATIONS",8
"7","BIOLOGICAL CONSERVATION",7
"8","CANADIAN FIELD-NATURALIST",7
"9","CONSERVATION BIOLOGY",7
"10","ECOSPHERE",7
"11","GLOBAL ECOLOGY AND BIOGEOGRAPHY",7
"12","AUK",6
"13","ECOLOGICAL APPLICATIONS",6
"14","JOURNAL OF GREAT LAKES RESEARCH",6
"15","WATERBIRDS",6
"16","WILDLIFE SOCIETY BULLETIN",6
"17","ECOLOGY AND EVOLUTION",5
"18","LANDSCAPE ECOLOGY",5
"19","WILSON JOURNAL OF ORNITHOLOGY",5
"20","ECOLOGICAL INDICATORS",4
"21","JOURNAL OF APPLIED ECOLOGY",4
"22","DIVERSITY AND DISTRIBUTIONS",3
"23","ECOLOGY AND SOCIETY",3
"24","FRONTIERS IN ECOLOGY AND EVOLUTION",3
"25","GLOBAL CHANGE BIOLOGY",3
"26","JOURNAL OF FISH AND WILDLIFE MANAGEMENT",3
"27","JOURNAL OF RAPTOR RESEARCH",3
"28","ORNITHOLOGY",3
"29","SCIENCE OF THE TOTAL ENVIRONMENT",3
"30","WILSON BULLETIN",3
"31","AGRICULTURE ECOSYSTEMS & ENVIRONMENT",2
"32","ARCTIC",2
"33","BIOLOGY AND CONSERVATION OF OWLS OF THE NORTHERN HEMISPHERE",2
"34","BOREAL BIRDS OF NORTH AMERICA: A HEMISPHERIC VIEW OF THEIR CONSERVATION LINKS AND SIGNIFICANCE",2
"35","CANADIAN JOURNAL OF ZOOLOGY",2
"36","COLONIAL WATERBIRDS",2
"37","ECOLOGY",2
"38","ECOSCIENCE",2
"39","ENVIRONMENTAL MONITORING AND ASSESSMENT",2
"40","FORESTRY CHRONICLE",2
"41","GLOBAL ECOLOGY AND CONSERVATION",2
"42","HUMAN-WILDLIFE INTERACTIONS",2
"43","JOURNAL OF ENVIRONMENTAL MANAGEMENT",2
"44","NORTHEASTERN NATURALIST",2
"45","PLOS ONE",2
"46","SCIENTIFIC REPORTS",2
"47","WETLANDS",2
"48","2017 IEEE 13TH INTERNATIONAL CONFERENCE ON E-SCIENCE (E-SCIENCE)",1
"49","ANIMAL BEHAVIOUR",1
"50","ANIMALS",1
"51","AVIAN RESEARCH",1
"52","BIOLOGICAL INVASIONS",1
"53","BIOMETRICS",1
"54","BIOSCIENCE",1
"55","BMC PUBLIC HEALTH",1
"56","CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE",1
"57","CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE",1
"58","CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE",1
"59","COMMUNICATIONS EARTH & ENVIRONMENT",1
"60","CONSERVATION ECOLOGY",1
"61","CONSERVATION SCIENCE AND PRACTICE",1
"62","DIVERSITY-BASEL",1
"63","ECOGRAPHY",1
"64","ECOLOGY AND CONSERVATION OF THE WILLOW FLYCATCHER",1
"65","ENDANGERED SPECIES RESEARCH",1
"66","ENVIRONMENTAL & RESOURCE ECONOMICS",1
"67","FACETS",1
"68","FRONTIERS IN VETERINARY SCIENCE",1
"69","HUMAN ECOLOGY",1
"70","HYDROBIOLOGIA",1
"71","INFECTIOUS DISEASE MODELLING",1
"72","JOURNAL FOR NATURE CONSERVATION",1
"73","JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS",1
"74","JOURNAL OF ANIMAL ECOLOGY",1
"75","JOURNAL OF AVIAN BIOLOGY",1
"76","LAND",1
"77","MARINE POLLUTION BULLETIN",1
"78","NORTHWEST SCIENCE",1
"79","OECOLOGIA",1
"80","ORNITHOLOGY RESEARCH",1
"81","POLAR BIOLOGY",1
"82","POPULATION ECOLOGY",1
"83","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",1
"84","REGIONAL ENVIRONMENTAL CHANGE",1
"85","REMOTE SENSING OF ENVIRONMENT",1
"86","RESTORATION ECOLOGY",1
"87","RURAL AND REMOTE HEALTH",1
"88","SCIENCE ADVANCES",1
"89","WATER AIR AND SOIL POLLUTION",1
"90","WESTERN NORTH AMERICAN NATURALIST",1
"91","WILDLIFE BIOLOGY",1
"92","WILDLIFE RESEARCH",1
